Module,Feature,User Story,Acceptance Criteria / Expected Behaviour,Data Elements for Listing / Form,Engineer ,Engineer timeline due date,business timeline Due date,Validator,Result - fail or pass,fail comments,QA RETESTING RESULT,PM Validation,DEMO VALIDATION
Customer Management,Customer Actions,"As an admin, I want to take actions on a customer account so that I can manage their access.","Admin can view, deactivate, activate, or block a customer account.",,Kelvin ,,24th March,Kelvin,,Endpoint needs modification to work proper. Endpoint (auth-serviceV3/admin/users/31/status) to update user status returns 500 server error.,,,
Customer Management,View Personal Details,"As an admin, I want to see a customer’s personal information so that I can verify identity.","Expanded view displays name, phone, email, address, and other personal details.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,View Customer Category,"As an admin, I want to see the customer's category so that I can understand their classification.",System displays the customer category (individual or corporate type).,,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,View Subscribed Products,"As an admin, I want to see products subscribed to by the customer so that I know which services they use.",System lists all products the customer is subscribed to.,,Kelvin ,,24th March,Kelvin,,No endpoint to view products a customer is subscribed to yet.,,,
Customer Management,View User Activities,"As an admin, I want to see customer activity logs so that I can monitor usage.","System displays user activity history such as login, actions performed, and changes made.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,View Customer Transactions,"As an admin, I want to see customer transactions so that I can monitor financial activity.","System displays total transactions, transactions by time period, specific date search, filter options, and transaction history.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,View KYC and Tier,"As an admin, I want to view the customer’s KYC status and tier so that I can verify compliance level.",System displays KYC verification status and assigned transaction tier.,,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,View Uploaded Documents,"As an admin, I want to view documents uploaded by the customer so that I can verify identity or compliance.","System displays uploaded documents such as ID, certificates, and verification files.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,View Customer Accounts,"As an admin, I want to see the customer’s account numbers so that I can review their financial accounts.",System displays all linked account numbers belonging to the customer.,,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,View Customer Loans,"As an admin, I want to see loan products associated with the customer so that I can track lending activity.","System displays loan products, loan status, and loan history.",,Kelvin ,,24th March,Kelvin,,No endpoint for admin to fetch loan details of a particular customer,,,
Customer Management,View Customer Summary,"As an admin, I want to see a summary of customer financial activity so that I can understand their engagement.","Expanded view displays total transactions, balances, and overall activity summary.",,Kelvin ,,24th March,Kelvin,,,,,
Customer Management,Edit Customer,"As an admin, I want to edit customer details so that I can correct or update user information.",Admin can update customer profile details where permitted.,,Kelvin ,,24th March,Kelvin,,No endpoint to Edit Customer Details,,,
Customer Management,Create Personal / Non-CAC Customer (Tier 1),"As an admin initiator, I want to create a personal or non-CAC customer account using BVN and date of birth so that the system can validate the customer's identity and prefill their details.","Admin logs into the dashboard and selects Create User. Admin enters BVN and Date of Birth. System sends OTP to the BVN-linked phone number and validates the BVN. The registration form is displayed with BVN, phone number, date of birth, first name, and last name auto-populated.","BVN, Phone Number, Date of Birth, First Name, Last Name",Kelvin ,,24th March,Kelvin,,,,,
Customer Management,Complete Customer Registration (Tier 1),"As an admin initiator, I want to complete the registration form so that the customer account can be created.","Admin selects Account Type (Personal or Non-CAC). Admin selects gender and enters address. If Non-CAC, admin also enters Business Name. Admin submits the form and the request goes to the approval queue.","Account Type, Gender, Address, Business Name",Kelvin ,,24th March,Kelvin,,,,,
Customer Management,Approve Customer Creation (Tier 1 – Checker),"As an admin approver, I want to review and approve customer creation requests so that only verified customers can access the platform.","Admin approver reviews the request in the approval queue. Approver can approve or reject. Once approved, the customer account becomes active as Tier 1.","Customer Name, BVN, Account Type, Status",Kelvin ,,24th March,Kelvin,,,,,
Customer Management,Activate Customer,"As an admin approver, I want to activate a customer account after review so that the customer can start using the platform.",Customer account becomes active only after the approver reviews and approves the request created by the initiator.,"Customer ID, Name, Status",Kelvin ,,24th March,Kelvin,,,,,
,,,,,,,,,,,,,
Customer Management (cooperate),Business Management Listing,"As an Admin, I want to view a list of all registered business entities so that I can manage corporate relationships and onboarding.","The system must display a paginated table of businesses with ""View"" and ""Edit"" actions available via a three-dot menu. It must support filtering by registration date and a global search.","Business ID, Business Name, Business Email, Business PhoneNumber, Business Type, Business Account Type.",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Business Search & Filtering,"As a Relationship Manager, I want to filter businesses by their onboarding date to track monthly registration targets.","Provide ""Start Date"" and ""End Date"" calendar pickers at the top of the Business Management table. The ""Search"" button must refresh the list based on these dates.","Search Query, Start Date (MM/DD/YYYY), End Date (MM/DD/YYYY).",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Bulk Business Upload,"As an Operations Officer, I want to upload multiple business profiles at once to save time during large merchant migrations.","Provide a ""Bulk upload"" button that accepts a standardized Excel/CSV template. The system must validate data for errors before finalizing the upload.",File Upload (Excel/CSV).,Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Create New Business Entry,"As an Admin, I want to manually register a new business entity to initiate the account opening process.","Provide a ""Create Business"" button that opens a comprehensive registration form. (Details pending your next screenshot).","Business Name, Email, Phone, Business Type.",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Business Data Export,"As a Compliance Officer, I want to export the business list to Excel for external regulatory reporting.","Provide an ""Export"" button that generates an Excel file containing all columns currently visible in the filtered view.",Excel Export File.,Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Create Business Account (Multi-Tab Form),"As an Admin, I want to capture comprehensive business data across four categories so that the corporate entity is fully profiled for KYC.","The system must provide a modal with 4 tabs: Business Details, Directors, Shareholders, and References. Validation must trigger for mandatory fields (red asterisks).","Business Name, Reg No, CAC No, Tax ID, Business Type, Reg/Incorp Dates, Address, City, State, Country, Email, Phone, Website, Trade Name, Postal Address.",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Corporate KYC Document Upload,"As a Compliance Officer, I want the system to store mandatory legal documents to ensure the business meets regulatory standards.","System must allow file uploads for CAC Certificate, MEMART, Utility Bill, and Status Report. Files must be viewable via a ""View Current"" link after upload.","CAC Certificate, MEMART, Business Utility Bill, CAC Status Report (File Uploads).",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Bank Verification Number(BVN),"As an Admin, I want to verify the identities of Directors and Shareholders using their BVN to prevent fraudulent registrations.","On the Directors/Shareholders tabs, entering a BVN and clicking ""Verify BVN"" must pull and validate the person's legal name and DOB from the national database.","BVN, Date of Birth, Full Name, Phone, Email, NIN, Address, Photograph, Utility Bill, NIN Card (File Uploads).",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Save to Draft Workflow,"As an Admin, I want to save a partially filled form as a draft so that I can complete the registration later without losing data.","Clicking ""Save Business Account"" must store the record in a ""Draft"" status. Drafts must be visible in the ""Draft CAC Business Accounts"" listing for later editing.","Save Action, Draft Status.",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
Customer Management (cooperate),Approval & Automated Notification,"As a Business Owner, I want to receive my account details via email once my registration is approved by the bank.","Once a draft is submitted and approved by a Checker, the system must auto-generate a welcome email containing the new business account credentials.","Approval Action, Automated Email Trigger.",Kelvin ,"3rd April, 2026",24th March,Kelvin,,,,,
,,,,,,,,,,,,,
Account Services (accounts),Master Account Listing,"As an Admin, I want to view a unified list of all accounts so I can monitor balances and tiers across the system.",System must display a paginated table (default 100 per page) with horizontal scrolling. It must support global search and data export to Excel.,"Tier Code, Account Balance, Available Balance, Lien Amount, Account Name, Account Number, Account Class.",Kelvin ,"10th April, 2026",28th March,Tolu,Fail,No unified paginated list of all accounts.,,,
Account Services (accounts),Request Account Statement,"As an Operations Officer, I want to generate account statements for customers for specific date ranges.","User provides an Account Number and Date Range; system generates a downloadable file. Includes a checkbox to ""Send to Customer Email"".","Account Number, Start Date, End Date, Format (PDF/Excel), Send to Email (Checkbox).",Kelvin ,"10th April, 2026",28th March,Tolu,Fail,,,,
Account Services (accounts),Closed Accounts Management,"As a Compliance Officer, I want to track accounts that have been deactivated or deleted for auditing purposes.","A dedicated list for accounts with a status of ""DELETED"". Provides a ""360 View"" and a ""View"" button to inspect historical account details.","Account Balance, Account Name, Account Number, Account Class, Account Status.",Kelvin ,"10th April, 2026",28th March,Tolu,Fail,Not implemented,,,
Account Services (accounts),Account Search & Date Filtering,"As an Auditor, I want to filter account records by their activity dates to narrow down specific transaction windows.","The interface must provide ""Start Date"" and ""End Date"" calendar pickers to refine the current list view.","Search Query (Text), Start Date (Calendar), End Date (Calendar).",Kelvin ,"10th April, 2026",28th March,Tolu,Fail,Not implemented,,,
Account Services (accounts),Tier & Class Verification,"As a Product Manager, I want to see the classification of each account to ensure customers are within their assigned limits.","The listing must explicitly distinguish between Tier codes (e.g., TIER_1) and Account Classes (e.g., BUSINESS).","Tier Code, Account Class.",Kelvin ,"10th April, 2026",28th March,Tolu,Fail,Not implemented,,,
Account Services (Internal account),Internal Account Listing,"As a Finance Admin, I want to view a list of all internal GL accounts so I can monitor operational balances.",The system must display a table of all internal accounts with their current balances. It must support searching by account name or number and filtering by creation date.,"Account Name, Account Balance, Account Number, Account Class (e.g., INTERNAL, INTERNAL_PND), Account CreatedAt.",Kelvin ,"10th April, 2026",28th March,Tolu,Fail,Not implemented,,,
Account Services (Internal account),Create Internal Account,"As a Finance Admin, I want to create new internal accounts linked to specific GL products and branches.","The system must provide a creation modal. New accounts must be mapped to an ""Account Product"" and a ""GL Level 2"" category to ensure proper accounting categorization.","Account Name (Text), Account Product (Dropdown), GL Level 2 (Dropdown), Branch (Dropdown).",Kelvin ,"10th April, 2026",28th March,Tolu,Fail,Not implemented,,,
Account Services (Internal account),Bulk Internal Account Upload,"As an Operations Officer, I want to upload multiple internal accounts at once during system setup or migration.","The system must provide a ""Bulk upload"" function. This should allow for the mass creation of GL-linked accounts using a predefined template.",Bulk Upload File (Excel/CSV).,Kelvin ,"10th April, 2026",28th March,Tolu,Fail,Not implemented,,,
Account Services (Internal account),Internal Account Data Export,"As an Auditor, I want to export the internal account list to Excel for periodic financial reconciliation.","Clicking the ""Export"" button must generate an Excel file containing all account details currently visible in the listing.",Excel Export File.,Kelvin ,"10th April, 2026",28th March,Tolu,Fail,Not implemented,,,
Account Services (Internal account),Account Balance & Audit View,"As a Finance Officer, I want to inspect a specific internal account's details to verify its transaction history.","The table must include a ""View"" action for each record. This opens the detailed transaction logs for that specific internal account.",View Action.,Kelvin ,"13th April, 2026",28th March,Tolu,Fail,Not implemented,,,
,,,,,,,,,,,,,
Product Management,View All Products,"As an admin, I want to view all products available on the platform so that I can monitor product performance and manage their configurations.","System displays product analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can search, filter, expand product details, export data, and view analytics by timeframe (day, month, year, custom date range).",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,not implemented,,,
Product Management,Loan Product Management,"As an admin, I want to monitor and manage loan products so that I can track performance and adjust product configurations when necessary.","System displays loan product analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can manage pricing, fees, and product visibility. Admin can filter by timeframe, search, export reports, and expand product details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,not implemented,,,
Product Management,POS Product Management,"As an admin, I want to monitor and manage POS products so that I can track usage and adjust product settings.","System displays POS product analytics including number of transactions, volume, total credit, total debit, and revenue earned. Admin can manage product pricing, transaction fees, and visibility settings. Admin can search, filter by date range, export reports, and expand details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,not implemented,,,
Product Management,Bank Account Product Management,"As an admin, I want to manage bank account products so that I can monitor their performance and configure related charges or visibility.","System displays bank account product analytics including number of transactions, volume, total credit, total debit, and revenue earned. Admin can update pricing, service fees, and product visibility. Admin can search, filter, export data, and view analytics by timeframe.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,not implemented,,,
Product Management,Bills Payment Product Management,"As an admin, I want to monitor and manage bill payment products so that I can track transaction activity and adjust product settings.","System displays bill payment analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can manage fees, pricing, and product availability. Admin can filter by date range, search, export data, and expand details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,"System  does not displays bill payment analytics including  transaction volume, total credit, total debit, and revenue earned. Admin can not manage fees, pricing, and product availability. Admin can not filter by date range, search, export data, and expand details.",,,
Product Management,ATM Card Product Management,"As an admin, I want to monitor and manage ATM card products so that I can control pricing, card fees, and visibility of the card service.","System displays ATM card product analytics including number of transactions, volume, total credit, total debit, and revenue earned. Admin can configure pricing, card issuance fees, and product visibility. Admin can filter by timeframe, search, export reports, and expand details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,not implemented,,,
Product Management,Virtual Account Product Management,"As an admin, I want to manage virtual account products so that I can monitor usage and configure pricing or visibility.","System displays virtual account analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can manage fees, pricing rules, and visibility. Admin can search, filter by date range, export data, and expand product details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,not implemented,,,
Product Management,Payout / Fund Transfer Product Management,"As an admin, I want to manage payout and fund transfer products so that I can monitor transaction performance and configure fees.","System displays payout/transfer analytics including number of transactions, volume, total credit, total debit, and revenue earned. Admin can manage transfer fees, pricing rules, and product visibility. Admin can search, filter, export reports, and expand details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,Not implemented,,,
Product Management,Pay with WayaBank Product Management,"As an admin, I want to monitor and manage the Pay with WayaBank product so that I can track transaction performance and configure pricing.","System displays Pay with WayaBank analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can update pricing, transaction fees, and visibility settings. Admin can search, filter by timeframe, export reports, and expand product details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,Not implemented,,,
Product Management,Transfer Product Management,"As an admin, I want to manage transfer products so that I can monitor performance and configure transfer pricing and fees.","System displays transfer product analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can configure transfer fees, pricing rules, and visibility. Admin can filter by timeframe, search, export data, and expand product details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,Not implemented,,,
Product Management,Deposit Product Management,"As an admin, I want to monitor and manage deposit products so that I can track deposit transactions and configure related fees or visibility.","System displays deposit product analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can configure deposit fees, pricing rules, and product visibility. Admin can search, filter by timeframe, export reports, and expand product details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,Not implemented,,,
Product Management,USSD Product Management,"As an admin, I want to monitor and manage USSD banking products so that I can track transaction performance and configure USSD service pricing.","System displays USSD transaction analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can configure USSD service charges, pricing rules, and product visibility. Admin can search, filter by timeframe, export reports, and expand product details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,Not implemented,,,
Product Management,Investment Product Management,"As an admin, I want to monitor and manage investment products so that I can track investment performance and configure pricing or availability.","System displays investment product analytics including number of transactions, transaction volume, total credit, total debit, and revenue earned. Admin can configure investment fees, pricing rules, and product visibility. Admin can search, filter by timeframe, export reports, and expand product details.",,Kelvin,"20th April, 2026",30th March,Tolu,Fail,Not implemented,,,
,,,,,,,,,,,,,
Manage KYC,Submit NIN Verification on Behalf of User (Tier 2 Upgrade),"As an admin initiator, I want to submit NIN verification on behalf of the user so that the customer can be upgraded from Tier 1 to Tier 2.","Admin selects the customer profile and chooses Submit NIN Verification. Admin enters NIN, Profile ID, First Name, Last Name, Email, Admin Remarks, uploads photo, and submits request.","Profile ID, NIN, First Name, Last Name, Email, Photo, Admin Remarks",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,Approve NIN Verification (Tier 2 – Maker Checker),"As an admin approver, I want to review the NIN verification request so that the customer's identity can be confirmed before upgrading their tier.","Approver reviews the request and approves or rejects it. Once approved, the account is upgraded to Tier 2.","NIN, Customer Name, Status",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,NIN Submission Review,"As a KYC Checker, I want to review the specific details of an NIN submission to ensure the data matches the government database.","Clicking ""View Details"" opens a modal showing the NIN, name, uploaded photo, and remarks.","Profile ID, NIN, Photo, Remarks",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,Approve / Reject NIN,"As a KYC Checker, I want to approve or reject identity submissions to update the user's KYC tier level.",System provides Approve and Reject actions with mandatory remarks for rejection.,"Status, Remarks",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,Audit Trail for KYC,"As an Auditor, I want to see who approved an identity and when to maintain accountability.",Table displays admin email and timestamp of approval.,"Approved By, Approved At",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,NIN Data Export,"As a KYC Checker, I want to export the NIN verification list for offline auditing and reporting.",System provides Export button to download Excel file.,Excel Export File,Kelvin,"23rd April, 2026",30th March,Tolu,,No Export button to download Excel file.,,,
Manage KYC,Submit Utility Bill on Behalf of User (Tier 3 Upgrade),"As an admin initiator, I want to upload a utility bill for the user so that their address can be verified for Tier 3 upgrade.","Admin uploads utility bill, selects provider and type, and submits for approval.","Utility Bill Type, Provider, Document",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,Approve Utility Bill (Tier 3 – Maker Checker),"As an admin approver, I want to verify the user's address before upgrading the account to Tier 3.",Approver reviews request and approves or rejects. Approved users move to Tier 3.,"Utility Type, Status",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,Utility Verification Listing,"As an Admin, I want to see a filtered list of all utility document submissions.",Table view with search and date filters.,"ID, Name, Email, Utility Type, Status",Kelvin,"23rd April, 2026",30th March,Tolu,,No search and date filter button,,,
Manage KYC,Utility Data Export,"As a KYC Checker, I want to export utility verification records for compliance reporting.",Export button generates Excel file.,Excel Export File,Kelvin,"23rd April, 2026",30th March,Tolu,,No export button to generates excel file,,,
Manage KYC,CAC Verification,"As an admin, I want to verify CAC documents for corporate customers so that business accounts meet regulatory requirements.",System allows CAC document upload and approval by a checker.,"CAC Number, Business Name, Documents",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,CAC Approval,"As a compliance officer, I want to approve CAC verification for corporate customers.",Checker approves or rejects CAC documents after review.,"CAC Status, Approved By",Kelvin,,30th March,Tolu,pass,,,,
Manage KYC,Execute BVN Refresh,"As an Admin, I want to update a user's BVN in the system so that their profile stays synchronized with the national identity database.","Entering a User ID and a New 11-digit BVN must trigger an immediate API call to the provider (e.g., NIBSS). Upon success, the system must overwrite the old BVN in the user profile and account records.","User ID, Old BVN, New BVN, Reason",Kelvin,"23rd April, 2026",30th March,Tolu,,Not implemented,,,
Manage KYC,BVN Refresh History Listing,"As an Admin, I want to view a log of all BVN updates to maintain a clear audit trail of identity changes.",System displays a table of all refresh attempts with search and date filters.,"User Name, Email, Old BVN, New BVN, Status, Created At, Executed By",Kelvin,"23rd April, 2026",30th March,Tolu,,Not implemented,,,
Manage KYC,Refresh Data Export,"As a Compliance Officer, I want to export the BVN refresh logs to Excel for regulatory reporting.",System provides an Export button that downloads all BVN refresh logs.,Excel Export File,Kelvin,"23rd April, 2026",30th March,Tolu,,No Export button that downloads all BVN refresh logs.,,,
,,,,,,,,,,,,,
Account Services,View Customer Accounts,"As an admin, I want to view all customer accounts so that I can monitor account details and status.","System displays account number, account name, account type, tier level, and status. Admin can search, filter, view details, and export account data.",,Kelvin,"4th May, 2026",2nd April,Tolu,pass,,,,
Account Services,View Account Details,"As an admin, I want to view detailed information about a customer account so that I can review profile information and account activity.","Admin selects an account to view profile details, tier level, account status, linked products, and transaction summary.",,Kelvin,"4th May, 2026",2nd April,Tolu,pass,,,,
Account Services,Account Entries (Ledger Entries),"As an admin, I want to view all account entries so that I can track credits and debits affecting customer accounts.","System records every debit and credit entry linked to an account. Entries include transaction ID, entry type (debit/credit), amount, timestamp, product source, and status. Admin can search, filter, and export entries.",,Kelvin,"4th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,View General Ledger,"As an admin, I want to view the general ledger so that I can track all financial movements across the system.","System displays ledger records showing debit and credit balances across accounts. Admin can filter by date, product, or account type and export ledger reports.",,Kelvin,"4th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Chart of Accounts Management,"As an admin, I want to manage the chart of accounts so that financial transactions are properly categorized.","System maintains structured accounts such as Assets, Liabilities, Revenue, Expenses, and Equity. Admin can create, edit, or deactivate ledger accounts.",,Kelvin,"4th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Create Ledger Account,"As an admin initiator, I want to create a new ledger account so that new financial categories can be tracked in the system.","Admin enters account name, account code, account type (asset, liability, revenue, expense, equity) and submits for approval.",,Kelvin,"4th May, 2026",2nd April,Tolu,,Not implemented,,,
Account Services,Approve Ledger Account Creation (Maker–Checker),"As an admin approver, I want to approve new ledger accounts so that only authorized accounts are added to the chart of accounts.","Admin approver reviews the request and can approve or reject. Once approved, the ledger account becomes active in the chart of accounts.",,Kelvin,"4th May, 2026",2nd April,Tolu,,Not implemented,,,
