Nr,Features,User story,Accetance Criteria,activities and tests,Expected results,UI status (done or not done),Implementation status ( done or not done),result ( fail or pass),Fail comments,,,,
28,2fa - otp to phone number,"As a user, I want to set 2fa using an OTP sent to my phone number so that I can have an added security my account.","Given I enable 2FA, When I enter the OTP received via sms, Then 2FA should be activated on my account.","Navigate to settings, select 2fa
Toggle on 2fa","2fa is enabled when toggled on and disabled when off.
When lon, upon login otp is sent to user email to allow authorization into the application",Done,Done,PASS,,,,,
29,get and display book balance,"As a user, I want to view my book balance so that I can monitor the total amount in my account including pending transactions.","Given I am logged in, When I navigate to account balance, Then I should see my total balance including uncleared/pending transactions.","Login or select home button if logged in
Navigate to dashboard
Check account overview",Book balance should be displayed with accurate figure,Done,Done,PASS,,,,,
30,get and display available balance,"As a user, I want to view my available balance so that I know how much I can spend or transfer immediately.","Given I am logged in, When I check available balance, Then it should reflect funds excluding pending or blocked amounts.","Login or select home button if logged in
Navigate to dashboard
Check Transaction history overview for available balance ",Book balance should be displayed with accurate figure,Done,Done,PASS,,,,,
31,get and display daily limit and available daily limit,"As a user, I want to view my daily transaction limits and remaining limit so I can plan my spending accordingly.","Given I am logged in, When I check daily limits, Then I should see the set limit and the remaining available limit for the day.","Login or select home button if logged in
Navigate to dashboard
Check Transaction history overview for daily limit and available daily limit",daily limit and available daily limit should be displayed with accurate figure depending on the transaction that has been made within the current day,Done,Done,FAIL,Available daily linit is not displaying the correct value as transactions are being made.,,,,
32,create business (CAC Account) sub accounts,"As a business user, I want to create sub-accounts so that I can manage different segments of my business finances.","Given I am logged in as a business user, When I create a sub-account and provide all required details, Then the system should create and display the new sub-account.","1. Login as business user
2. Navigate to Sub-Accounts section
3. Select ""Create New Sub-Account""
4. Fill in details
5. Submit",New sub-account is created and shown in account list.,,Not done,FAIL,CAC Account registration saved but not submitted and not available on display,,,,
33,create personal sub accounts,"As a personal user, I want to create sub-accounts so I can better organize my finances.","Given I am logged in as a personal user, When I create a sub-account and fill in details, Then it should be added to my account list.","1. Login as personal user
2. Navigate to Sub-Accounts
3. Select ""Create New""
4. Fill in details
5. Submit",New personal sub-account is created and displayed.,,Not done,PASS,,,,,
34,get and display all accounts,"As a user, I want to view all my accounts so I can manage them in one place.","Given I am logged in, When I open the accounts overview, Then all linked accounts and sub-accounts should be listed.","1. Login
2. Navigate to Accounts Overview",All accounts and sub-accounts displayed.,Done,Done,PASS,,,,,
35,enable sms charges,"As a user, I want to enable SMS charges so I can receive transaction alerts via SMS.","Given I am logged in, When I enable SMS alerts, Then the system should confirm activation and apply SMS charges for each alert.","1. Login
2. Navigate to Notifications Settings
3. Enable SMS alerts
4. Confirm action",SMS alerts enabled with charges applied per message.,,Not done,Not Done,Not available,,,,
36,enable email alert for transactions only - no charges,"As a user, I want to enable email alerts for transactions without charges so I stay informed without paying extra.","Given I am logged in, When I enable email alerts in the notification settings, Then I should start receiving email notifications for every transaction without any charges applied.","Make a transfer
Confirm if email was sent to the user email when funds are transferes",Email on debit is sent and received in the user email after fund transfer is successful,,Not done,Not Done,Not available,,,,
37,"get transaction fees for below 10,000 (10.75)","As a user, I want to know the transaction fee for amounts below 10,000 so I can anticipate the cost.","Given I enter a transaction amount below 10,000, When I view the fee breakdown, Then the system should display the correct transaction fee before I confirm.","Make transactions of below 10,000
Confirm the transc fee to be deducted from user account from transc summary before entering PIn",A transc fee of .... should be added to the amount to be transfered in the summary before PIn is entered,Done,Done,FAIL,"Transaction fee 
Local
1000 - displayed 53.75 but 10.75 was deducted from the balance as trans fee. Transc fee did not reflect in the receipt or transaction history
9999.99 - displayed 53.75 but 10.75 was deducted from the balance
5000: displayed 0.00  and 0.00 was deducted from the balance",,,,
38,"get transaction fees for  10,000 and above (53.75)","As a user, I want to know the transaction fee for amounts above 10,000 so I can budget for high-value transfers.","Given I enter a transaction amount above 10,000, When I view the fee breakdown, Then the system should display the applicable fee before I confirm.","Make transactions of above10,000
Confirm the transc fee to be deducted from user account from transc summary before entering PIn",A transc fee of .... should be added to the amount to be transfered in the summary before PIn is entered,Done,Done,FAIL,"Transaction fee
Local
10,000 - displayed 53.75 but 53.75 was deducted from the balance.
600,001 - displayed 53.75 but Insufficient account balance error trans of 21075.24 has been made) Tier 3
250,000- displayed 0.00 but Insufficient account balance error (trans of 21075.24 has been made) Tier 3",,,,
39,calculate transaction charges and sms charges (if sms alert is enabled),"As a user, I want the system to calculate both transaction and SMS charges so I can see the total deductions.","Given I am performing a transaction with SMS alerts enabled, When I confirm the transaction, Then I should see total deductions including transaction and SMS fees.","1. Login
2. Initiate a transaction
3. Ensure SMS alerts are enabled
4. Confirm transaction",Total deduction displayed with transaction + SMS charges.,,Not done,Not Done,Not available,,,,
40,waya to waya transfer,"As a user, I want to make transfers between Waya accounts so that the process is fast and cost-effective.","Given I am logged in, When I initiate a transfer to another Waya account, Then the transfer should be completed instantly with minimal or no charges applied.","Navigate to transaction, select Own Bank transfer, Input transc detail; recipient account no, amount etc. verify with pin and hit sent ",Transaction is successful and recipient receives funds.,Done,Done,FAIL,"Transc fee displayed not accurate for trans less than N10,000.
Trans fee not being displayed after a while.
",,,,
41,external transfer,"As a user, I want to make transfers to external bank accounts so I can send money outside the Waya system.","Given I am logged in, When I enter an external beneficiary account and confirm the transfer, Then the system should process the transfer securely and debit the correct amount including fees.","Navigate to transaction, select Other Bank transfer, Input transc detail; recipient account no, amount etc. verify with pin and hit sent ",Transaction is successful and recipient receives funds.,Done,Done,,"To be Validated in Production


",,,,
42,account to account transfer - the same owner,"As a user, I want to transfer between my own accounts so I can easily manage funds.","Given I have multiple accounts linked, When I choose to transfer funds between my own accounts, Then the transfer should be processed instantly without extra fees.","Navigate to transaction, 
Select Same Owner transfer, Input transc detail; select source account no and recieving  account no, amount etc.
 verify with pin and hit sent ",Transaction is successful and receiving account number is creditted with funds.,Done,Done,PASS,"N10,000 - No transc fee was displayed or deducted.",,,,
43,verify pin for every transfer,"As a user, I want the system to request my PIN for each transfer to prevent unauthorized transactions.","Given I initiate any type of transfer, When I confirm the transaction, Then the system should prompt for my transaction PIN and only proceed if the correct PIN is entered.","Navigate to transaction, 
Select any type of transfer, Input transc detail; select source account no and recieving  account no, amount etc.
Select Next
Enter with pin to submit transfer","Enter PIn page is displayed, fillable and submitted for every transfer",Done,Done,PASS,,,,,
44,Features,"As a user, I want to receive and verify an SMS OTP for each transfer to add an extra layer of security.","Given I initiate a transfer, When the system generates and sends an SMS OTP to my registered phone number, Then I must enter the OTP correctly before the transfer is completed.","1. Login to the app.
2. Navigate to Transfers.
3. Enter transfer details (amount, beneficiary, etc.).
4. Confirm transfer request.
5. Receive SMS OTP on registered phone.
6. Enter OTP into the app.
7. Submit.","OTP is received by user.
Correct OTP allows the transfer to complete successfully.
Incorrect OTP blocks the transfer with an error message (e.g., “Invalid OTP, please try again”).",Done,Done,PASS,,,,,
45,all billspayment transfer; Airtime,"As a user, I want to pay my bills through the app so I can handle all finances in one place.","Given I am logged in, When I select a biller and enter payment details, Then the system should process the payment, confirm it, and update my balance.","Navigate to utilities
Select bills payment type
Fill required details and
Click Submit","Upon entering PIn and clicking cubmit, Bills payment successful banner should be displayed",Done,Done,,TO BE VALIDATED IN PRODUCTION,,,,
46,display historical transactions,"As a user, I want to view my transaction history so I can track my spending and verify past payments.","Given I am logged in, When I navigate to the transaction history page, Then I should see a chronological list of all my past transactions with details (date, type, amount, status).","Navigate to dashboard
Select Transc History
Confirm display of transactions",Transaction history (of 30 days) should be diplayed and up to the current date and time,Done,Done,,"Main account history displayed accurately.
No transc histoory for sub accounts - To be Validated in Production",,,,
47,generate transaction receipt,"As a user, I want to generate a receipt for each transaction so I have proof of payment.","Given I complete a transaction, When I request a receipt, Then the system should generate and display (and allow download/share) a receipt containing transaction details.","Navigate to dashboard
Select Transc History
select a transaction on the list, receipt is displayed
Click download ",Receipt should be displayed with a button to download,Done,Done,FAIL,Receipt generated accurately but complete validation pendin transc fee configuration.,,,,
48,generate bank statement,"As a user, I want to generate a bank statement so I can track all activities over a specific period.","Given I am logged in, When I select a date range and request a statement, Then the system should generate a downloadable statement (PDF/Excel) showing all transactions within that period.","Navigate to dashboard
Select Transc History
select start and end date
Click submit
",Bank statement is send to the user email,Done,Done,,Statement details generated not Accurate To be Validated in Production,,,,
49,view ATM card details,"As a user, I want to view my ATM card details securely within the app.","Given I am logged in, When I navigate to card details section, Then I should be able to view masked card information after security verification.","1. Login
2. Navigate to Card Details
3. Complete security check (e.g., PIN/OTP)",Masked ATM card details displayed securely.,,Not done,Not Done,,,,,
50,request for ATM cards,"As a user, I want to request an ATM card through the app for physical access to my account.","Given I am logged in, When I submit a new card request, Then the request should be recorded and sent for admin approval.","1. Login
2. Go to Card Request section
3. Fill required details
4. Submit",ATM card request is recorded as “Pending Approval.”,,,FAIL,"inaccurate subtotal.
address should appear first",,,,
51,debit for atm card request,"As a user, I want the system to automatically debit my account when I request an ATM card.","Given I have sufficient funds, When I request a card, Then the system should debit the fee from my account.","1. Login
2. Request ATM card
3. Confirm payment","Account debited, and request status updated.",,,FAIL,Unexpected Error response,,,,
52,approve atm card request,"As an admin, I want to approve ATM card requests so that eligible users receive their cards.","Given a card request is pending, When I review and approve it, Then the request status should change to “Approved.”","1. Login as admin
2. Go to Pending Card Requests
3. Review user eligibility
4. Approve request",Status changes to “Approved” in system.,,,Not Done,,,,,
53,issue atm card,"As an admin, I want to issue an ATM card to users who have been approved.","Given a request is approved, When I assign a card and mark it as issued, Then the user should receive card details.","1. Login as admin
2. Open Approved Requests
3. Assign card number
4. Confirm issuance",ATM card issued and user notified.,,,Not Done,,,,,
54,debit for payment request via atm card,"As a user, I want to be debited when I make payments using my ATM card.","Given I have an active card, When I complete a transaction, Then my account should be debited instantly.","1. Make payment with ATM card
2. Check account balance",Transaction amount debited from account.,,,Not Done,,,,,
55,display atm card transactions,"As a user, I want to view all my ATM card transactions to keep track of usage.","Given I have made card transactions, When I check transaction history, Then all past ATM card payments should be listed.","1. Login
2. Navigate to Card Transactions
3. View list",Full ATM card transaction history displayed.,,,Not Done,,,,,
56,block card,"As a user, I want to block my ATM card if it's lost or stolen to prevent fraud.","Given I have an active card, When I choose to block it, Then the card should be immediately deactivated.","1. Login
2. Go to Card Management
3. Select Block Card
4. Confirm action",ATM card is blocked and cannot be used.,,,Not Done,,,,,
57,activate card transaction ,"As a user, I want to activate my card for transactions so I can begin using it.","Given I have a newly issued card, When I activate it in the app, Then it should be enabled for use.","1. Login
2. Go to Card Activation
3. Enter required details
4. Submit",Card status changes to “Active” in system.,,,Not Done,,,,,
58,activate card transaction pin,"As a user, I want to set a PIN to authorize card transactions.","Given I have an active card, When I set a transaction PIN, Then the card should require it for all payments.","1. Login
2. Go to Card Settings
3. Enter new PIN and confirm
4. Save",Card PIN is set successfully.,,,Not Done,,,,,
59,change card transaction pin,"As a user, I want to change my card transaction PIN for security reasons.","Given I have an active card, When I change my transaction PIN, Then the new PIN should replace the old one.","1. Login
2. Go to Change Card PIN
3. Enter old and new PIN
4. Save changes",Card PIN updated successfully.,,,Not Done,,,,,
60,request for pos terminal,"As a business user, I want to request a POS terminal to receive payments from customers.","Given I am logged into my business account, When I submit a POS request with all required details, Then the request should be saved and sent for admin approval.","1. Login as business user
2. Navigate to POS Request page
3. Fill in required details
4. Submit request",POS request is successfully submitted and status shows “Pending Approval.”,Done,Done,,First interface is displayed but cant move to the next as the Continue button does not respond.,,,,
61,debit for pos request,"As a business user, I want the system to debit my account when I request a POS terminal.","Given I have sufficient funds, When I request a POS, Then the system should automatically debit the required amount from my account.","1. Login as business user
2. Submit POS request
3. Confirm payment authorization","The specified amount is debited, and POS request moves to pending approval.",,,,,,,,
62,approve pos terminal,"As an admin, I want to approve POS terminal requests so that qualified businesses receive them.","Given I am logged in as an admin, When I review and approve a pending POS request, Then the request status should change to “Approved.”","1. Login as admin
2. Open pending POS requests
3. Review business eligibility
4. Approve request",POS request is marked as “Approved” in the system.,,,,,,,,
63,issue pos terminal to selected account,"As an admin, I want to issue the POS terminal to the appropriate business account.","Given a POS request is approved, When I assign and issue a POS, Then the business should receive the device and system should record issuance.","1. Login as admin
2. Locate approved request
3. Assign POS serial number
4. Confirm issuance",POS terminal is issued and recorded in the system.,,,,,,,,
64,set pos terminal transaction pin,"As a business user, I want to set a transaction PIN for my POS terminal to secure its use.","Given I have an issued POS, When I set a transaction PIN, Then the POS should be secured and require PIN for transactions.","1. Login as business user
2. Go to POS Settings
3. Set transaction PIN
4. Confirm PIN",Transaction PIN is successfully saved and enforced.,,,,,,,,
65,dispute resolution for atm card,"As a user, I want to raise disputes related to ATM card transactions to resolve issues.","Given I have an ATM card transaction issue, When I submit a dispute, Then it should be recorded and sent for resolution.","1. Login
2. Navigate to Dispute section
3. Select ATM Card transaction
4. Fill dispute details
5. Submit",Dispute is logged with reference ID and pending resolution.,,,Not Done,,,,,
66,dispute resolution for billspayment,"As a user, I want to raise disputes related to bill payments in case of errors.","Given I have a bill payment issue, When I raise a dispute, Then it should be recorded and sent for investigation.","1. Login
2. Go to Dispute section
3. Select Bill Payment
4. Enter details and submit",Dispute is logged and pending resolution.,,,PASS,User can log bills payment dispute.,,,,
67,dispute resolution for pos ,"As a user, I want to raise disputes for POS transactions to ensure resolution.","Given I have a POS transaction issue, When I raise a dispute, Then the system should log and forward it for resolution.","1. Login
2. Navigate to Dispute section
3. Select POS transaction
4. Submit dispute",POS transaction dispute is recorded with tracking ID.,,,Not Done,,,,,
68,support,"As a user, I want access to customer support within the app for help with any issue.","Given I am logged in, When I open the Support section, Then I should be able to contact support via available channels.","1. Login
2. Navigate to Support section
3. Choose contact method (email, call, chat)
4. Submit request",Support request is submitted and acknowledged.,Done,,FAIL,"Complaint ticket; Tickets can be submitted but Account number and  phone number field accepts alphabets.
Issue description field should be made required for ticket submission to avoid irrelevant tickets.
Zoho is currently not activated.",,,,
69,chatbot,"As a user, I want to use a chatbot to get quick responses to common queries.","Given I am on the chatbot interface, When I type a question, Then the bot should provide an instant relevant response.","1. Login
2. Open Chatbot
3. Type question
4. Review response",Chatbot provides relevant and quick response to query.,Done,,FAIL,"User can leave a message but response is not real time. 
After entering each response, the chat ended and I couldn't type the message. In that case, first prompt should be enter your complaint. And a confirmation of completion in case user clicked ""Enter"" without knowing before further inquiries.
Or the inquiries should come first before complaints is typed.
 
 
Email chat transcript was not sent/received in the email specified.",,,,
70,in app notification,"As a user, I want to receive real-time notifications within the app for important updates.","Given I am logged in, When there is an update (e.g., transaction, alert), Then I should see a notification instantly within the app.","1. Login
2. Perform an action that triggers notification (e.g., transaction)
3. Check app notification panel.",Notification appears instantly in app.,Done,,,"To be Validated in Production
Passed for logout and outward transc.
Notification for inflow transaction and other trans to be tested in production",Notification for inflow transaction and other trans to be tested in production,,,
71,notification on locked screen,"As a user, I want to receive notifications even when my phone is locked to stay informed.","Given notifications are enabled, When phone is locked, Then I should still receive alerts on the lock screen.","1. Lock phone
2. Trigger a notification event
3. Check lock screen",Notification is displayed on lock screen.,,,Not Done,Not available,,,,
72,notification on silent app,"As a user, I want to get notifications even when the app is minimized.","Given I have the app running in background, When there’s an update, Then I should get the notification.","1. Minimize app
2. Trigger a notification event
3. Observe notification popup	",Notification appears even when app is minimized.,,,Not Done,Not available,,,,
73,soundbox notification,"As a merchant, I want to get audio alerts via soundbox for incoming transactions.","Given I have a soundbox connected, When a transaction occurs, Then I should hear an audio alert.","1. Connect soundbox
2. Process a payment
3. Listen for audio alert",Soundbox announces transaction.,,,Not Done,Not available,,,,
74,B2B products display,"As a business user, I want to view available B2B products to find services I need.","Given I am logged in as business user, When I navigate to B2B products section, Then I should see available products listed.	","1. Login as business user
2. Go to B2B Products page",List of B2B products is displayed.,,,,,,,,
75,B2B transactions display,"As a business user, I want to view my B2B transaction history.","Given I have made B2B transactions, When I open transaction history, Then all past transactions should be listed.	","1. Login as business user
2. Navigate to B2B Transactions page",B2B transaction history is shown.,,,,,,,,
76,AG dashboard display,"As an agent, I want to view my dashboard with performance metrics.","Given I am logged in as agent, When I open dashboard, Then I should see key performance stats.	","1. Login as agent
2. Open dashboard","Dashboard displays metrics (transactions, commissions, etc.).",,,,,,,,
77,AG transaction display,"As an agent, I want to view all transactions I’ve carried out.","Given I have done transactions, When I open my transactions list, Then all records should be visible.","1. Login as agent
2. Go to Transactions section",All agent transactions are displayed.,,,,,,,,
78,AG commission display,"As an agent, I want to see a breakdown of my earned commissions.","Given I have earned commissions, When I view commission breakdown, Then amounts and sources should be displayed.","1. Login as agent
2. Go to Commissions page",Detailed commission breakdown is shown.,,,,,,,,
79,AG commission settlement,"As an agent, I want to request and receive my commission settlement.","Given I have pending commissions, When I request settlement, Then payment should be processed to my account.","1. Login as agent
2. Navigate to Settlement request
3. Submit request",Commission settlement is processed and payment confirmation is shown.,,,,,,,,
80,logout,"As a user, I want to securely log out of the application to protect my account.","Given I have completed banking activities on my app, When I select logout, Then my account shout logout and app should display the login page","Select the side bar 
Click on logout
Confirmation modal should pop up
Clck Ok to logout",Account should be logged out successfuly,Done,Done,PASS,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
